NEW MILL HOUSE,640 WATER WORKS DR
NEW MT ZION BAPTIST CHURCH,919-25 S 13TH ST
NEW MT ZION PENTECOATAL,1501-09 N 20TH ST
NEW PATIENT PAVILION,3401 CIVIC CENTER BLVD
NEW PSALMIST BAPTIST CHURCH,1409-13 W DAUPHIN ST
NEW RALSTON HOUSE,3401-99 SPRUCE ST
NEW REDEEM APOSTOLIC CHURCH,5003 GERMANTOWN AVE
NEW SALEM BAPTIST CHURCH,1721-23 N CROSKEY ST
NEW SOUTHERN TABERNACLE BAPTIST CHURCH,2068-70 RIDGE AVE
NEW SPRING BAPTIST CHURCH,1937 RIDGE AVE
NEW ST JOHN BAPTIST CHURCH,726-28 N 23RD ST
NEW ST. JAMES BAPTIST CHURCH,2912-16 GERMANTOWN AVE
NEW STAR OF HOPE BAPTIST CHURCH,443 N 60TH ST
NEW TABERNACLE BAPTIST CHURCH,5717 BAYNTON ST
NEW TEMPLE BAPTIST CHURCH,2633-45 WHARTON ST
NEW TESTAMENT CHURCH,541-51 E ALLEGHENY AVE
NEW TESTAMENT CHURCH OF CHRIST,4730-32 CHESTNUT ST
NEW TESTAMENT CHURCH OF GOD,2227 BRYN MAWR AVE
NEW TESTAMENT CHURCH OF GOD,6114 N 20TH ST
NEW TESTAMENT FAMILY FELLOWSHP,6418 OGONTZ AVE
NEW WELCOME BAPTIST CHURCH,833-37 N 20TH ST
NEWHALL PARK,5322-34 NEWHALL ST
NEWMAN CENTER,1801 N BROAD ST
NEWMAN CENTER,3401-99 SPRUCE ST
NICETOWN PARK,4369-71 GERMANTOWN AVE
NICETOWN POST OFFICE,3962-68 GERMANTOWN AVE
NICHOLAS HOUSE,3401-99 SPRUCE ST
NICHOLAS PARK,5430-46 RACE ST
NIGHT,BELMONT AVE & N HORTICULTURAL DR
NINETIETH STREET MT HERMON CHURCH,6132 JEFFERSON ST
NORRIS SQUARE CIVIC ASSOCIATION,2500-14 GERMANTOWN AVE
NORRIS GARDENS,2002-06 TRENTON AVE
NORRIS SQUARE,2100-60 N HOWARD ST
NORRIS SQUARE CHILDRENS CENTER,135-41 W NORRIS ST
NORRIS SQUARE COMMUNITY ALLIANCE HEAD START CENTER,2014 MASCHER ST
NORRIS SQUARE SENIOR CITIZENS CENTER,2121-37 N HOWARD ST
NORRIS SQUARE UNITED PRESBYTERIAN CHURCH,120-36 W SUSQUEHANNA AVE
NORTH CEDAR HILLS CEMETERY,5700 FRANKFORD AVE
NORTH EAST TREATMENT CENTER,154-60 E HUNTINGDON ST
NORTH LIGHT COMMUNITY CENTER,179 GREEN LN
NORTH PENN BAPTIST CHURCH,2425 N 27TH ST
NORTH PHILADELPHIA CCIS,2519 GERMANTOWN AVE
NORTH PHILADELPHIA MUNICIPAL SERVICE CENTER,2101-49 W LEHIGH AVE
NORTH PHILADELPHIA SEVENTH-DAY ADVENTIST CHURCH,1533-41 N 16TH ST
NORTH PHILADELPHIA STATION BSL,2601 N BROAD ST
NORTH PHILADELPHIA WEST POST OFFICE,2601-25 N 16TH ST
NORTH PHILADELPHIA PEACE PARK,2216 JEFFERSON ST
NORTH PROVIDENCE BAPTIST CHURCH,2909 N 8TH ST
NORTH RESIDENCE (UPPER SCHOOL DEAN),2035 S COLLEGE AVE
NORTH TOWER (MAIN HOSPITAL ENTRANCE),222-48 N BROAD ST
NORTH WALES ACADEMY,5801-03 GERMANTOWN AVE
"NORTH-EAST ISLAMIC CENTER, BAITHUL MUKARRAM",1421 TYSON AVE
NORTHCENTRAL SERVICE BUILDING,2523 W GLENWOOD AVE
NORTHEAST ANIMAL CLINIC,4956 RISING SUN AVE
NORTHEAST ASSEMBLY OF GOD,3504 STANWOOD ST
NORTHEAST BAPTIST CHURCH,4758 TACKAWANNA ST
NORTHEAST COMMUNITY CHURCH,3300 TYSON AVE
NORTHEAST HS,1601 COTTMAN AVE
NORTHEAST PHILADELPHIA INTERNATIONAL AIRPORT,9901 E ROOSEVELT BLVD
NORTHEAST PREPARATORY SCHOOL HIGH SCHOOL,1309 COTTMAN AVE
NORTHEAST SERVICE BUILDING,3801 N DELAWARE AVE
NORTHEAST TOWER CENTER,4620R-40 E ROOSEVELT BLVD
NORTHEAST TRANSFER STATION,3899 RICHMOND ST
NORTHEAST TREAMENT CENTER,2003 N 2ND ST
NORTHEAST VILLAGE SHOPPING CENTER,9173-75 E ROOSEVELT BLVD
NORTHEAST WATER POLLUTION CONTROL PLANT,3899 RICHMOND ST
NORTHERN HOME FOR CHILDREN,5301 RIDGE AVE
NORTHERN LIBERTIES BUILDING,313-27 FAIRMOUNT AVE
NORTHERN LIBERTIES RECREATION CENTER,313-27 FAIRMOUNT AVE
NORTHERN LIBERTIES VETERINARY CENTER,622-26 N 2ND ST
NORTHWEST EQUESTRIAN FACILITY,140 NORTHWESTERN AVE
NORTHWEST INDEPENDENT BAPTIST CHURCH,2515 N 26TH ST
NORTHWEST SERVICE BUILDING,5201 UMBRIA ST
NORTHWEST TRANSFER STATION,5201 UMBRIA ST
NORTHWESTERN STABLES,140 NORTHWESTERN AVE
NORTHWOOD ACADEMY CS,4601-21 CASTOR AVE
NORTHWOOD CEMETERY,7000 N 15TH ST
NORTHWOOD PARK,1003 FOULKROD ST
NORTHWOOD PARK,999 ARROTT ST
NORWOOD FONTBONNE ACADEMY,1 E SUNSET AVE
NORWOOD FONTBONNE MIDDLE SCHOOL,8891 GERMANTOWN AVE
NUR ACADEMY ELEMENTARY SCHOOL,805 N 63RD ST
NURSE EDUCATION BUILDING,9801 FRANKFORD AVE
O'CONNOR POOL,2601-13 SOUTH ST
OCONNOR MEMORIAL POOL,2601-13 SOUTH ST
OEM / TRAFFIC OPS CENTER,4501 G ST
OAK GROVE BAPTIST CHURCH,2853-55 N 21ST ST
OAK LANE PRESBYTERIAN CHURCH,1044 OAK LN
OAK LANE UNITED CHURCH,6547 N 7TH ST
OAKLAND CEMETERY,898 ADAMS AVE
OAKWOOD HEALTHCARE & REHAB CENTER,2109 RED LION RD
OASIS CITY CHURCH,5248 N 5TH ST
OASIS OF PRAISE MINISTRIES CHURCH,2031 N 63RD ST
OFFICE OF SCHOOL SAFETY,400 N BROAD ST
OGONTZ ACADEMY KINDERGARTEN,6149-51 OGONTZ AVE
OGONTZ PREPARATION ACADEMY,6128-30 N WOODSTOCK ST
OHIO HOUSE FIELDS,4700 STATES DR
OLD CATHEDRAL CEMETERY,4800-14 LANCASTER AVE
OLD CITY HALL,500-36 CHESTNUT ST
OLD 1ST REFORMED UNITED CHURCH OF CHRIST,322-40 RACE ST
OLD LINE PARK,8730 OLD LINE RD
OLD MILL HOUSE,640 WATER WORKS DR
OLD PINE COMMUNITY CENTER,400-22 PINE ST
OLD PINE STREET CEMETERY,400-22 PINE ST
OLD PINE STREET PRESBYTERIAN CHURCH,400-22 PINE ST
OLD SAINT MARY'S CEMETERY,259-65 S 5TH ST
OLD SAINT MARY'S CHURCH,242-52 S 4TH ST
OLD SHIP-ZION BAPTIST CHURCH,2422-24 W YORK ST
OLD ST. JOSEPH'S CHURCH,321 WILLINGS ALY
OLD TRINITY CEMETERY,6901 RISING SUN AVE
OLD TRINITY CHURCH,6901 RISING SUN AVE
OLD ZION LUTHERAN CHURCH,624 N BROAD ST
OLDER ADULT CENTER - JUNIATA PARK,1231 E SEDGLEY AVE
OLDER ADULT CENTER - MANNRIVERA RECREATION CENTER BUILDING,3201 N 5TH ST
OLDER ADULT CENTER - SOUTH PHILADELPHIA BUILDING,1430 E PASSYUNK AVE
OLDER ADULT CENTER - WEST OAK LANE BUILDING,7210-18 OGONTZ AVE
OLDER ADULT SUNSHINE CENTER,137 S 58TH ST
OLIVET BAPTIST CHURCH,4950-60 N 10TH ST
OLIVET COVENANT PRESBYTERIAN,610-22 N 22ND ST
OLNEY ACADEMY,5323 N 5TH ST
OLNEY BAPTIST CHURCH,237 W CHEW AVE
OLNEY CHARTER HIGH SCHOOL,5101 MASCHER ST
OLNEY CHRISTIAN SCHOOL ELEMENTARY SCHOOL,435 E ROOSEVELT BLVD
OLNEY CHURCH OF CHRIST,320 W CHEW AVE
OLNEY ELEMENTARY SCHOOL,120 E TABOR RD
OLNEY FIELD,100 E DUNCANNON AVE
OLNEY GOSPEL ASSEMBLY,312-14 W CHEW AVE
OLNEY HALL/LA SALLE ART MUSEUM,625-35 E WISTER ST
OLNEY LOGAN MEDICAL CENTER,4813-15 N BROAD ST
OLNEY PLAZA SHOPPING CENTER,5675 N FRONT ST
OLNEY RECREATION CENTER,100 E GODFREY AVE
OLNEY RECREATION CENTER BUILDING,100 E GODFREY AVE
OLNEY TRANSPORTATION CENTER,5589-95 OLD YORK RD
OLYMPIK TOTS CHILDCARE,1025-27 CHERRY ST
ONE BRIGHT RAY COMMUNITY HIGH SCHOOL,1142 E ERIE AVE
ONE COMMERCE SQUARE,2005 MARKET ST
ONE LIBERTY PLACE,1650 MARKET ST
ONE LOGAN SQUARE,1800 BENJAMIN FRANKLIN PKWY
ONE PARKWAY BUILDING (OPB),1515 ARCH ST
ONE PENN CENTER,1601 JOHN F KENNEDY BLVD
ONE SOUTH BROAD BUILDING,1 S BROAD ST
OPEN DOOR BAPTIST CHURCH,1632-34 N 26TH ST
OPEN DOOR COMMUNITY CHURCH,1609 N SYDENHAM ST
OPEN DOOR MISSION TRUE LIGHT,401-15 N 52ND ST
OPEN HEART CHURCH-PHILADELPHIA,6018-22 LARCHWOOD AVE
ORB WASHBASIN,BELMONT AVE & N HORTICULTURAL DR
ORESTES & PYLADES FOUNTAIN,33RD ST & OXFORD AVE
ORIANNA HILL PARK,901-13 N ORIANNA ST
ORIGINAL GLORIOUS CHURCH,853-55 E WOODLAWN ST
ORLOWITZ BUILDING,800-34 WALNUT ST
ORTHODOX STREET PARCEL,3101 ORTHODOX ST
OTTINGER TRACT,7808 NIXON ST
OUR HOUSE MONTESSORI,701 S 9TH ST
OUR LADY HELP OF CHRISTIANS PARRISH,2424 E ALLEGHENY AVE
OUR LADY OF CALVARY CAMPUS,11026 KNIGHTS RD
OUR LADY OF CALVARY CHURCH,11024 KNIGHTS RD
OUR LADY OF CONSOLATION,7049-51 TULIP ST
OUR LADY OF CONSOLATION SCHOOL,7050-52 TULIP ST
OUR LADY OF HOPE,1901 W TIOGA ST
"OUR LADY OF HOPE CATHOLIC PARISH, CHURCH OF THE HOLY CHILD",5220-22 N BROAD ST
OUR LADY OF HOPE REGIONAL CATHOLIC SCHOOL,1248 JACKSON ST
OUR LADY OF LOURDES CHURCH,6301 WOODBINE AVE
OUR LADY OF MT CARMEL CHURCH,2301-41 S 3RD ST
OUR LADY OF PORT RICHMOND SCHOOL,2639 E ALLEGHENY AVE
OUR LADY OF RANSOM CHURCH,6700-50 E ROOSEVELT BLVD
OUR LADY OF RANSOM SCHOOL,6700-50 E ROOSEVELT BLVD
OUR LADY OF THE BLESSED SACRAMENT CATHOLIC CHURCH,339 N 63RD ST
OUR MOTHER OF CONSOLATION CHURCH,7-29 E CHESTNUT HILL AVE
OUR MOTHER OF CONSOLATION SCHOOL,7-29 E CHESTNUT HILL AVE
OUR MOTHER OF SORROWS CHURCH,4800-14 LANCASTER AVE
OUR MOTHER OF SORROWS SCHOOL,4800-14 LANCASTER AVE
OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,632-44 N 43RD ST
OUTREACH FAMILY FELLOWSHIP,5811 MARKET ST
OVER COMING CHURCH,4940 GERMANTOWN AVE
OVER THE RAINBOW PRE-SCHOOL,4301-03 TYSON AVE
OVERBROOK ART & ENVIRON CENTER,6136-50 LANCASTER AVE
OVERBROOK AVENUE GOSPEL HALL,5834-36 OVERBROOK AVE
OVERBROOK EDUCATIONAL CENTER SCHOOL,6730-38 LANSDOWNE AVE
OVERBROOK ELEMENTARY SCHOOL ELEMENTARY SCHOOL,6201-31 LEBANON AVE
OVERBROOK HIGH SCHOOL,5700 LANCASTER AVE
OVERBROOK PARK CHURCH OF CHRIST,7630 WOODBINE AVE
OVERBROOK PARK LEARNING CENTER,7504 HAVERFORD AVE
OVERBROOK PLAZA,5610 LANCASTER AVE
OVERBROOK PRESBY CHURCH PRE-SCHOOL & KINDERGARTEN,6376-78 CITY AVE
OVERBROOK PRESBYTERIAN CHURCH,6376-78 CITY AVE
OVERBROOK SCHOOL FOR BLIND,6333 MALVERN AVE
OVERBROOK SCHOOL FOR BLIND (ANNEX),6332 MALVERN AVE
OVERBROOK STATION POST OFFICE,642-58 N 63RD ST
OVERINGTON PARK,4600 LEIPER ST
OXFORD CIRCLE BAPTIST CHURCH,6401 LORETTO AVE
OXFORD CIRCLE MENNONITE CHURCH,5600 LANGDON ST
OXFORD LEVICK CENTER,919 LEVICK ST
OXFORD PRESBYTERIAN CHURCH,8501-19 STENTON AVE
P G CHRISTLIKE FAITH BAPTIST,2901-19 N 25TH ST
PENNSYLVANIA CONVENTION CENTER,1101 ARCH ST
PATCO-LOCUST STREET CONCOURSE,LOCUST 16TH TO 12TH STREETS
PAWS SPAY/NEUTER AND WELLNESS CLINIC,2900 GRAYS FERRY AVE
PECO ENERGY,2301 MARKET ST
PGW CENTER CITY CUSTOMER SERVICE CENTER,1137 CHESTNUT ST
PGW FRANKFORD CUSTOMER SERVICE CENTER,4410 FRANKFORD AVE
PGW HEADQUARTERS 1,800 W MONTGOMERY AVE
PGW NORTH PHILADELPHIA CUSTOMER SERVICE CENTER,1337 W ERIE AVE
PGW SOUTH PHILADELPHIA CUSTOMER SERVICE CENTER,1601 S BROAD ST
PGW WEST PHILADELPHIA CUSTOMER SERVICE CENTER,5230 CHESTNUT ST
PHL - DEPARTMENT AVIATION FACILITY-STORAGE,8500 ESSINGTON AVE
PHL - TERMINAL BUILDING DPHL - TERMINAL BUILDING BPHL - TERMINAL BUILDING EPHL - TERMINAL BUILDING FPHL - TERMINAL BUILDING CPHL - DEPARTMENT AVIATION FACILITY-MAIN,8500 ESSINGTON AVE
PHL FIRE STATION (ON-SITE),ISLAND AVE & ROUTE 291
PMC GROUP BUILDING,1312 CHESTNUT ST
PNC CENTER,1600-22 MARKET ST
PINE - GENERAL AVIATION BUILDING,9901 E ROOSEVELT BLVD
PINE - TERMINAL,9901 E ROOSEVELT BLVD
PPR CENTRAL MAINTENANCE HEADQUARTERS,1221-25 N 4TH ST
PPS DETENTION - CAMBRIA,2815 N 17TH ST
PPS DETENTION - COMMUNITY EDUCATION CENTER (COLEMAN HALL),3950 D ST
PPS WORK RELEASE - 600 UNIVERSITY,600 UNIVERSITY AVE
PPS WORK RELEASE - LIBERTY,1007 W LEHIGH AVE
PPS WORK RELEASE AT 600 UNIVERSITY,600 UNIVERSITY AVE
PWD SHUTOFF CREW HEADQUATERS,3300 HENRY AVE
PWD SURVEY UNIT,3325-95 FOX ST
PACHELLA ATHLETIC FIELD,700 GORGAS LN
PACHELLA FIELDS,700 GORGAS LN
PACKER AVENUE MARVINE TERMINAL,3117 S CHRISTOPHER COLUMBUS BLVD
PALESTINE-ROXBOROUGH MASONIC HALL LODGE NO. 135,344-50 CONARROE ST
PALESTRA,3401-99 SPRUCE ST
PALEY EARLY LC,2199 STRAHLE ST
PALEY LIBRARY,1801 N BROAD ST
PALMER BURIAL GROUND,1400-02 E MONTGOMERY AVE
PALMER PARK,1701-21 FRANKFORD AVE
PALMER PLAYGROUND,2981 COMLY RD
PALMER PLAYGROUND BUILDING 1,2981 COMLY RD
PALMER PLAYGROUND BUILDING 2,2981 COMLY RD
PALUMBO PARK,723 CATHARINE ST
PALUMBO RECREATION CENTER,700 S 9TH ST
PALUMBO RECREATION CENTER BUILDING,700 S 9TH ST
PAN AMERICAN ACADEMY CHARTER SCHOOL,2830 N AMERICAN ST
PANATI PLAYGROUND,3101-27 N 22ND ST
PAOLONE PARK,718 SEARS ST
PAOLONE PARK,732 SEARS ST
PARADISE BAPTIST CHURCH,4704-06 WOODLAND AVE
PARADISE GARDENS,1506-12 RITNER ST
PARENT INFANT CENTER,4201 SPRUCE ST
PARENTI PLAZA,4201-47 WOODLAND AVE
PARHAM CHAPEL METHODIST MINISTERS AND LAYMENS CHURCH,326 S 52ND ST
PARK AVENUE EVANGELISTIC APOSTOLIC CHURCH OF OUR LORD JESUS,6016 VINE ST
PARK DISTRICT 1 OFFICE,3850 FORD RD
PARK TOILET BUILDING,109 SPRUCE ST
PARK TOWNE,BENJAMIN FRANKLIN PKWY
PARK TROLLEY HEADQUARTERS,4121 HORTICULTURAL DR
PARKING GARAGE,1600 SPRING GARDEN ST
PARKING GARAGE,3800 POWELTON AVE
PARKING LOT - FERN ROCK STATION ERN ROCK STATION,901 W NEDRO AVE
PARKING LOT - FORREST HILLS STATION,299 BYBERRY RD
PARKING LOT - HIGHLAND STATION,8400 SEMINOLE AVE
PARKING LOT - TORRESDALE STATION,9600 JAMES ST
PARKING LOT - VENICE ISLAND,19 LOCK ST
PARKS AND RECREATION DISTRICTS 7 & 8 OPERATIONS OFFICE,3500 S BROAD ST
PARKWAY CENTER CITY HIGH SCHOOL,528-44 N 13TH ST
PARKWOOD SHOPPING CENTER,12301-75 ACADEMY RD
PARTRIDGE HALL,3300 W SCHOOL HOUSE LN
PASCHALL POST OFFICE,2910 S 70TH ST
PASSYUNK SQUARE DOG PARK,1200 WHARTON ST
PASTORIUS PARK COMFORT STATION,201 W HARTWELL LN
PASTORIUS PARK,201 W HARTWELL LN
PATHWAY EVANGELISTIC CHURCH,4837 FRANKFORD AVE
PAUL J. GUTMAN LIBRARY,3300 W SCHOOL HOUSE LN
PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,11-19 S 42ND ST
PAUL'S TABERNACLE CHURCH,1348 W SOMERSET ST
PAUL'S TABERNACLE CHURCH OF GOD IN CHRIST,800 W SOMERSET ST
PAVILION,2035 S COLLEGE AVE
PAVILION BUILDING,1600 SPRING GARDEN ST
PAVILION BUILDING AT HMC,2100 W GIRARD AVE
PAVILION IN THE TREES,4160 HORTICULTURAL DR
PAVILION INDOOR PRACTICE FACILITY,1801 N BROAD ST
PAVIOS PLAZA,13001 BUSTLETON AVE
PEABODY HALL (STUDENT HOUSING),1801 N BROAD ST
PEACEFUL COMMUNITY CHURCH FO CHRIST,1705-07 S 21ST ST
PEACOCK PAVILION,3400 W GIRARD AVE
PEALE HOUSE,625-35 E WISTER ST
PEARLMAN SPORTS CENTER BASEBALL FIELDS,600 PORT ROYAL AVE
PEARSON AND MCGONIGLE HALLS,1801 N BROAD ST
PEE WEE PREP,251 N 56TH ST
PEGASUS RIDING ACADEMY,8295 BUSTLETON AVE
PEGASUS RIDING ACADEMY BUILDING,8295 BUSTLETON AVE
PEGASUS WITH CALLIOPE,4201 AVENUE OF THE REPUBLIC
PEGASUS WITH ERATO,4201 AVENUE OF THE REPUBLIC
PIERCE COLLEGE,1420-34 PINE ST
PIERCE MIDDLE SCHOOL,2400 CHRISTIAN ST
PELBANO (RHAWNHURST) PLAYGROUND BUILDINGNORTHEAST RECREATION CENTER BUILDING (GYM),8101 BUSTLETON AVE
PELBANO PLAYGROUND,8101 BUSTLETON AVE
PELBANO RECREATION CENTER,8101 BUSTLETON AVE
PELBANO RECREATION CENTER BUILDING 2,8101 BUSTLETON AVE
PEMBERTON HOUSE,316-20 CHESTNUT ST
PENIEL BAPTIST CHURCH,2515 JEFFERSON ST
PENN ALEXANDER SCHOOL,4201 SPRUCE ST
PENN ASIAN SENIOR SERVICES (PASSI),6926 OLD YORK RD
PENN CARDIOLOGY PENNSYLVANIA HOSPITAL,700-14 SPRUCE ST
PENN CENTER HOUSE,1900 JOHN F KENNEDY BLVD
PENN HOME,1401 E SUSQUEHANNA AVE
PENN INTERNAL MEDICINE RITTENHOUSE,1801 SOUTH ST
PENN MEDICINE UNIVERSITY CITY,3711 MARKET ST
PENN OBELISK,1301 BEACH ST
PENN PRESS,3401-99 SPRUCE ST
PENN TRANSIT OPERATIONS CENTER,3401 GRAYS FERRY AVE
PENN TRANSPLANT HOUSE,3940 SPRUCE ST
PENN TREATY,1213-33 N DELAWARE AVE
PENN TREATY MIDDLE SCHOOL,600 E THOMPSON ST
PENN TREATY PARK,1227-37 BEACH ST
PENN'S LANDING,1 S CHRISTOPHER COLUMBUS BLVD
PENN'S LANDING DOG PARK,1 S CHRISTOPHER COLUMBUS BLVD
PENNBROOK HALL,5700-30 CITY AVE
PENNELL ELEMENTARY SCHOOL,1800-56 W NEDRO AVE
PENNOVATION CENTER,3401 GRAYS FERRY AVE
PENNSYLVANIA AVENUE PLAYGROUND,2601 PENNSYLVANIA AVE
PENNSYLVANIA FOOT/ANKLE ASSOCS,1340 RHAWN ST
PENNSYLVANIA HOSPITAL,801-49 PINE ST
PENNSYLVANIA SCHOOL FOR THE DEAF,100-52 W SCHOOL HOUSE LN
PENNSYLVANIA STATE POLICE TROOP K,2201 BELMONT AVE
PENNYPACK AMPITHEATER 2,VERREE RD
PENNYPACK BAPTIST CHURCH,8732 KREWSTOWN RD
PENNYPACK BAPTIST CHURCH CEMETERY,8800 KREWSTOWN RD
PENNYPACK ENVIRONMENTAL CENTER BIRD SHELTER,8600 VERREE RD
PENNYPACK SHELTER RUINS,8101 CRESCO AVE
PENNYPACK SHOPPING CENTER,8556-76 BUSTLETON AVE
PENNYPACK ON THE DELAWARE,8201 STATE RD
PENNYPACK ON THE DELAWARE MAINTENANCE BUILDING,7999 STATE RD
PENROSE LAB ANIMAL HOSPITAL,3400 W GIRARD AVE
PENROSE PARK,7601-51 LINDBERGH BLVD
PENROSE PLAYGROUND,1101 W SUSQUEHANNA AVE
PENROSE PLAYGROUND BUILDING,1101 W SUSQUEHANNA AVE
PENROSE PLAZA,3000 ISLAND AVE
PENROSE SCHOOL,2515 S 78TH ST
PENTACOSTAL CHURCH,2508 N FRONT ST
PENTECOSTAL ADULAM,5400-06 ELLA ST
PENTECOSTAL ASSEMBLY OF JESUS ONLY,1627 N 20TH ST
PENTECOSTAL BRIDEGROOM TEMPLE,6401 E WISTER ST
PENTECOSTAL CHURCH OF PHILADELPHIA,1000R SAINT VINCENT ST
PENTECOSTAL DELIVERANCE TBRNCL,2426-28 RIDGE AVE
PENTECOSTAL FAITH ASSEMBLY CHURCH,5347-53 PULASKI AVE
PENTECOSTAL HOUSE OF PRAYER,2334-36 N 9TH ST
PEOPLE FOR PEOPLE CHARTER SCHOOL,800 N BROAD ST
PEOPLE'S EMERGENCY CENTER,300-50 SAUNDERS AVE
PEOPLE'S MISSION CHURCH,2356 WILDER ST
PEPPER SCHOOL PLAYGROUND,2801 S 84TH ST
PERELMAN CENTER FOR ADVANCED MEDICINE,3401 CIVIC CENTER BLVD
PERELMAN CENTER FOR POLITICAL SCIENCE AND ECONOMICS,3401-99 SPRUCE ST
PERRY WORLD HOUSE,3401-99 SPRUCE ST
PERSONAL TOUCH,4801-05 N BROAD ST
PERSONAL TOUCH CHILD CARE,5615-19 GERMANTOWN AVE
PET HEALTH CENTER,3363-65 FRANKFORD AVE
PHARMACOLOGY/TOXICOLOGY CENTER,4201-47 WOODLAND AVE
PHASE 4 LEARNING CENTER,6404 ELMWOOD AVE
PHAT BAO TEMPLE,6427 LARGE ST
PHAT QUANG BUDDHIST TEMPLE,1001-07 S 4TH ST
PHILADELPHIA CANOE CLUB STONE GARAGE,4600 RIDGE AVE
PHILADELPHIA AOH CHURCH OF GOD,3942 WALLACE ST
PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),1700 TOMLINSON RD
PHILADELPHIA ADVENTIST CHURCH,5926-32 LANSDOWNE AVE
PHILADELPHIA ART ALLIANCE,251 S 18TH ST
PHILADELPHIA AUTO PROCESSING FACILITY,4 OREGON AVE
PHILADELPHIA BAHA'I CENTER,2462 BRYN MAWR AVE
"PHILADELPHIA BAPTIST ASSOCIATION, ANDORRA CHURCH",8711 RIDGE AVE
PHILADELPHIA BIBLE FELLOWSHIP,6312-14 RISING SUN AVE
PHILADELPHIA BROTHERHOOD,6150 CEDAR AVE
PHILADELPHIA CENTER FOR ARCHITECTURE,1216-20 ARCH ST
PHILADELPHIA CHRISTIAN ACADEMY,4400-22 N BROAD ST
PHILADELPHIA CHRISTIAN ACADEMY,6007-09 LARCHWOOD AVE
PHILADELPHIA CHURCH OF GOD,169 W FISHER AVE
PHILADELPHIA CHURCH OF GOD FO CHRIST,7400-12 E WALNUT LN
PHILADELPHIA CHURCH OF JESUS CHRIST,5300-02 LANCASTER AVE
PHILADELPHIA CITY INSTITUTE LIBRARY,220 W RITTENHOUSE SQ
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,4152-80 CITY AVE
PHILADELPHIA CORRECTIONAL FACILITIES CAMPUS,7999 STATE RD
PHILADELPHIA CRICKET CLUB,451 W WILLOW GROVE AVE
PHILADELPHIA CRIMINAL JUSTICE CENTER,1301-19 FILBERT ST
PHILADELPHIA DELIVERANCE,7501 OGONTZ AVE
PHILADELPHIA DISTILLING,29 E ALLEN ST
PHILADELPHIA DOLL MUSEUM,2253 N BROAD ST
PHILADELPHIA EAGLES / NOVACARE COMPLEX,3400L S BROAD ST
PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER SCHOOL,1420-22 CHESTNUT ST
PHILADELPHIA FAMILY COURT,1503A-11 ARCH ST
PHILADELPHIA FIRE ACADEMY,8401 STATE RD
PHILADELPHIA FIRE ACADEMY BUILDING 1,8401 STATE RD
PHILADELPHIA FIRE ACADEMY BUILDING 2,8401 STATE RD
PHILADELPHIA FIRE ACADEMY BUILDING 3,8401 STATE RD
PHILADELPHIA FIRE ACADEMY CAMPUS,8401 STATE RD
PHILADELPHIA FORREST PRODUCTS CENTER,78 S PIER
PHILADELPHIA FREE LIBRARY,3948-50 WALNUT ST
PHILADELPHIA FREE SCHOOL,2001 CHRISTIAN ST
PHILADELPHIA GATEWAY PARKING GARAGE,222-48 N BROAD ST
PHILADELPHIA GOSPEL HALL,7601 LANGDON ST
PHILADELPHIA HARAMBEE INSTITUTE CHARTER SCHOOL,630-48 N 66TH ST
PHILADELPHIA HIGH SCHOOL FOR GIRLS,5400 N BROAD ST
PHILADELPHIA HOUSE OF WORSHIP (PHOW),16 OLD ASHTON RD
PHILADELPHIA INDIA CHRIST,455 TOMLINSON RD
PHILADELPHIA INDUSTRIAL CORRECTION CENTER,7999 STATE RD
PHILADELPHIA INDUSTRIAL CORRECTIONAL CENTER,7999 STATE RD
PHILADELPHIA INDUSTRIAL PARK,10965 DECATUR RD
PHILADELPHIA INTERNATIONAL PHILADELPHIA INTERNATIONAL AIRPORT,8500 ESSINGTON AVE
PHILADELPHIA KOREAN PRESBYTERIAN,5822-58 HOFFMAN AVE
PHILADELPHIA LEARNING ACADEMY SOUTH HIGH SCHOOL,4301-19 OGDEN ST
PHILADELPHIA MASJID SCHOOL,4700-20 WYALUSING AVE
PHILADELPHIA MILLS,4301 BYBERRY RD
PHILADELPHIA MONTESSORI CHARTER SCHOOL,2227 ISLAND AVE
PHILADELPHIA MUNICIPAL COURT - TRAFFIC DIVISION,800-12 SPRING GARDEN ST
PHILADELPHIA MUSEUM OF ART (PMA),2500 SPRING GARDEN ST
PHILADELPHIA MUSEUM OF ART PERELMAN BUILDING,2501-21 FAIRMOUNT AVE
PHILADELPHIA MUSEUM OF JEWISH ART,609-17 N BROAD ST
PHILADELPHIA NATIONAL CEMETERY,6900 LIMEKILN PIKE
PHILADELPHIA NURSING HOME,2100 W GIRARD AVE
PHILADELPHIA ORTHOPEDIC GROUP,6537 E ROOSEVELT BLVD
PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,1600 VINE ST
PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,2600-30 S BROAD ST
PHILADELPHIA POLICE ACADEMY,8401 STATE RD
PHILADELPHIA POLICE DEPARTMENT,8401 STATE RD
